unicode,name,description
58880,Running,
58881,Flying,
58882,Basketball,
58883,Showering,
58887,Driving,
58888,Cleaning,
58889,Drinking,
58890,Video Games,
58891,Cooking,
58894,Travelling,
58897,Fishing,
58899,Music,
58900,Shopping,
58903,Ice-Skating,
58905,Relaxing,
58908,Groceries,
58909,Partying,
58910,Meditating,
58911,Cycling,
58916,Mountain Biking,
58918,Reading,
58919,DJ-ing,
58920,Writing,
58921,Vacation,
58923,Eating,
58924,Poker,
58926,Praying,
58929,Television,
58931,Skiing,
58933,Sleeping,
58934,Breakfast,
58935,Snowboarding,
58936,Football,
58939,Swimming,
58940,Studying,
58941,Sunbathing,
58943,Lecturing,
58945,Pooping,
58946,Canoeing,
58947,Puzzles,
58949,Working,
58950,Presenting,
58952,Hiking,
58954,Walking,
58957,Hang Gliding,
58960,Stretching,
58961,Dancing,
58963,Yoga,
58964,Weight Lifting,
58973,Boxing,
58974,Ballet,
58975,Gym,
